"SALES 
PERSON",COMPANY NAME," INVOICE
AMOUNT ","INVOICE 
NUMBER",SALES REMARK,CLAIM STATUS,HRDF GRANT ID,HRDF TRAINING DATE,HRDF CLAIM ID,
YASMIN,ESSTAR VISION SDN BHD," RM17,680.68 ",EIN2403-0272,BATCH 2,RECEIVED,606609H_24_0087,22/04/2024 To : 26/04/2024,C832542SBL_24_1742304,
YASMIN,MALAYSIAN CLEANSING SERVICES SDN BHD," RM30,000.00 ",EIN2405-0145,ONE BATCH ,RECEIVED,94694K_24_0044,13/05/2024 To : 17/05/2024,C832542SBL_24_1742068,
EDWARD,K.P. LOO ENGINEERING SDN BHD," RM18,466.52 ",EIN2405-0190,ONE BATCH ,RECEIVED,414051V_24_0001,18/06/2024 To : 21/06/2024,,
YASMIN,MEDIPULSE HEALTHCARE SDN BHD," RM10,076.40 ",EIN2410-0044,ONE BATCH ,RECEIVED,1206122P_24_0013,15/10/2024 To : 17/10/2024,C832542SBL_24_1810680,
YASMIN,KAITEKI BEAUTY SDN BHD," RM10,076.40 ",EIN2410-0043,ONE BATCH ,RECEIVED,1334975M_24_0001,05/11/2024 To : 07/11/2024,C832542SBL_24_1872249,
FATIMAH,STEELWORKS ENGINEERING SDN BHD," RM6,804.00 ",EIN2410-0017,BATCH 1,RECEIVED,113732U_24_0011,15/10/2024 To : 17/10/2024,C832542SBL_24_1810681,
FATIMAH,STEELWORKS ENGINEERING SDN BHD," RM6,804.00 ",EIN2410-0018,BATCH 2,RECEIVED,113732U_24_0012,28/10/2024 To : 30/10/2024,C832542SBL_24_1810671,
FATIMAH,YEW HOONG SOFA PRODUCTS (M) SDN. BHD.," RM13,653.36 ",EIN2410-0093,ONE BATCH ,RECEIVED,265122K_24_0026,05/11/2024 To : 07/11/2024,C832542SBL_24_1837391,
FATIMAH,YONGSHEN HEAT TREATMENT SDN. BHD.," RM9,072.00 ",EIN2410-0111,ONE BATCH ,RECEIVED,185695A_24_0031,12/11/2024 To : 14/11/2024,C832542SBL_24_1837394,
YASMIN,NIHON PARKERIZING (MALAYSIA) SDN BHD," RM3,674.16 ",EIN2411-0002,ONE BATCH ,RECEIVED,315521U_24_0142,05/11/2024   To :  07/11/2024,C832542SBL_24_1812477,
YASMIN,GO CAPITAL GROWTH SDN BHD," RM1,678.32 ",EIN2411-0015,ONE BATCH ,RECEIVED,880690K_24_0030,05/11/2024   To :  07/11/2024,C832542SBL_24_1827833,
FATIMAH,YEO AIK WOOD SDN BHD," RM12,441.60 ",EIN2411-0100,ONE BATCH ,RECEIVED,244961H_24_0098,05/11/2024   To :  07/11/2024,C832542SBL_24_1823780,
YASMIN,ASPIRES 165 SDN BHD," RM3,460.32 ",EIN2411-0044,ONE BATCH ,RECEIVED,202101017556_24_0003,12/11/2024 To : 14/11/2024,C832542SBL_24_1849481,
WIRSON,PALMINGTON SDN. BHD.," RM4,587.84 ",EIN2411-0101,ONE BATCH ,RECEIVED,892241W_24_0079,26/11/2024 To : 28/11/2024,C832542SBL_24_1870948,
FATIMAH,GAMMA WOOD SDN. BHD.," RM7,776.00 ",EIN2411-0105,ONE BATCH ,RECEIVED,429972U_24_0020,26/11/2024 To : 28/11/2024,C832542SBL_24_1853697,
MUIM,CHAN'S WORLD LEISURELINK TRAVEL SDN BHD," RM10,368.00 ",EIN2411-0116,ONE BATCH ,RECEIVED,159279X_24_0012,26/11/2024 To : 28/11/2024,C832542SBL_25_1914985,
JOSHUA HO,QUINTON BABY (M) SDN. BHD.," RM3,220.56 ",EIN2411-0130,ONE BATCH ,RECEIVED,1340638U_24_0004,10/12/2024   To :  12/12/2024,C832542SBL_24_1904974,
FATIMAH,ORKIM SHIP MANAGEMENT SDN BHD," RM5,346.00 ",EIN2411-0040,ONE BATCH ,RECEIVED,658264U_24_0198,03/12/2024   To :  05/12/2024,C832542SBL_24_1876185,
YASMIN,GFL WAREHOUSING & DISTRIBUTION (M) SDN BHD," RM5,524.20 ",EIN2412-0024,ONE BATCH ,RECEIVED,956874X_24_0003,03/12/2024   To :  05/12/2024,C832542SBL_24_1888079,
FATIMAH,EIGNRETEP SDN BHD," RM5,589.00 ",EIN2411-0211,ONE BATCH ,RECEIVED,117317P_24_0043,03/12/2024   To :  05/12/2024,C832542SBL_25_1941924,
FATIMAH,SANTAN RESTAURANT SDN BHD," RM10,886.40 ",EIN2411-0244,ONE BATCH ,RECEIVED,1093728T_24_0057,09/12/2024   To :  12/12/2024,C832542SBL_25_1930138,
FARHANAH,SWIFT INTEGRATED LOGISTICS SDN. BHD, RM855.36 ,EIN2410-0020,ONE BATCH ,RECEIVED,112036P_24_0815,26/11/2024   To :  28/11/2024,C832542SBL_24_1892152,
WIRSON,JURUCITA PROJECT SDN BHD," RM3,816.72 ",EIN2411-0190,ONE BATCH ,RECEIVED,1081653D_24_0001,03/12/2024   To :  05/12/2024,C832542SBL_24_1872189,
WIRSON,JURUCITA CONSULTANT SDN BHD," RM1,769.04 ",EIN2411-0192,ONE BATCH ,RECEIVED,PG0094493D_24_0010,03/12/2024   To :  05/12/2024,C832542SBL_24_1872303,
AZIZ,PURE HEART VEGETARIAN SDN BHD," RM5,793.12 ",EIN2411-0245,ONE BATCH ,RECEIVED,1215956T_24_0014,03/12/2024   To :  05/12/2024,C832542SBL_24_1869083,
JOSHUA HO,RIMBUNAN EKSPRES SDN BHD," RM6,726.24 ",EIN2411-0157,ONE BATCH ,RECEIVED,960119U_24_0010,03/12/2024   To :  05/12/2024,C832542SBL_24_1903482,
JOSHUA HO,MYBROSIS SDN BHD," RM6,201.36 ",EIN2411-0156,ONE BATCH ,RECEIVED,776530D_24_0002,03/12/2024   To :  05/12/2024,C832542SBL_24_1903505,
YASMIN,NEE SOON TEKNIK SDN BHD," RM7,322.40 ",EIN2411-0214,ONE BATCH ,RECEIVED,680264U_24_0013,09/12/2024   To :  12/12/2024,C832542SBL_24_1879920,
JOSHUA HO,PEMBEKAL P & B SDN BHD," RM9,428.40 ",EIN-2411-0213,BATCH 1,RECEIVED,612344M_24_0005,09/12/2024   To :  12/12/2024,C832542SBL_24_1903510,
JOSHUA HO,PEMBEKAL P & B SDN BHD," RM9,428.40 ",EIN2411-0277,BATCH 2,RECEIVED,612344M_24_0006,17/12/2024   To :  19/12/2024,C832542SBL_24_1903535,
JOSHUA HO,SONICTRON SDN. BHD.," RM2,883.60 ",EIN2412-0053,ONE BATCH ,RECEIVED,648724V_24_0004,09/12/2024   To :  12/12/2024,C832542SBL_24_1904995,
AZIZ,OZI HOLDING SDN. BHD.," RM8,650.80 ",EIN2412-0054,ONE BATCH ,RECEIVED,1275627K_24_0005,17/12/2024   To :  19/12/2024,C832542SBL_24_1905563,
BARI,SYARIKAT A&R ENTERPRISE," RM3,168.72 ",EIN2412-0043,ONE BATCH ,RECEIVED,0000059763T_24_0007,09/12/2024   To :  12/12/2024,C832542SBL_24_1884160,
FATIMAH,MST FACILITIES SDN BHD," RM9,979.20 ",EIN2412-0076,BATCH 1,RECEIVED,175229D_24_0036,17/12/2024   To :  19/12/2024,C832542SBL_25_1930132,
FATIMAH,MST FACILITIES SDN BHD," RM9,979.20 ",EIN2412-0077,BATCH 2,RECEIVED,175229D_24_0037,23/12/2024   To :  26/12/2024,C832542SBL_25_1939656,
FATIMAH,KIA MALAYSIA SDN BHD," RM7,128.00 ",EIN2412-0078,ONE BATCH ,RECEIVED,1413906T_24_0041,17/12/2024   To :  19/12/2024,C832542SBL_25_1947231,
MUIM,KINTA RIVERFRONT HOTEL & SUITES SDN. BHD.," RM11,800.08 ",EIN2412-0085,BATCH 1,RECEIVED,776701X_24_0081,17/12/2024   To :  19/12/2024,C832542SBL_24_1911662,
MUIM,KINTA RIVERFRONT HOTEL & SUITES SDN. BHD.," RM11,800.08 ",EIN2412-0086,BATCH 2,RECEIVED,776701X_24_0082,23/12/2024   To :  26/12/2024,C832542SBL_24_1911971,
MUIM,SHIN HUP HING MOTOR SDN BHD," RM4,451.76 ",EIN2412-0121,ONE BATCH ,RECEIVED,658815U_24_0021,17/12/2024   To :  19/12/2024,C832542SBL_24_1911209,
JOSHUA HO,DATAXET MALAYSIA SDN. BHD.," RM12,564.72 ",EIN2412-0101,ONE BATCH ,RECEIVED,729310P_24_0106,17/12/2024   To :  19/12/2024,C832542SBL_24_1905021,
FARHANAH,HABLEM OIL & GAS (M) SDN. BHD.," RM3,985.20 ",EIN2412-0020,ONE BATCH ,RECEIVED,271068D_24_0103,23/12/2024   To :  26/12/2024,C832542SBL_25_1924225,
MUIM,VALENCIA HOME FURNISHING SDN. BHD.," RM6,765.12 ",EIN2412-0173,ONE BATCH ,RECEIVED,756028W_24_0003,07/01/2025   To :  09/01/2025,C832542SBL_25_1940114,
MUIM,SHIN YO ENGINEERING SDN BHD," RM8,877.60 ",EIN2412-0178,ONE BATCH ,RECEIVED,510968K_24_0011,23/12/2024   To :  26/12/2024,C832542SBL_25_1923761,
FARHANAH,AF MARKETING SDN. BHD.," RM2,922.48 ",EIN2412-0049,ONE BATCH ,RECEIVED,821643V_24_0002,23/12/2024   To :  26/12/2024,C832542SBL_25_1922291,
MUIM,SP LOGISTICS SDN. BHD.," RM12,474.00 ",EIN2412-0187,BATCH 1,RECEIVED,450087X_24_0040,23/12/2024   To :  26/12/2024,C832542SBL_24_1911620,
MUIM,SP LOGISTICS SDN. BHD.," RM12,474.00 ",EIN2412-0188,BATCH 2,RECEIVED,450087X_24_0041,07/01/2025   To :  09/01/2025,C832542SBL_25_1939913,
MUIM,SP LOGISTICS SDN. BHD.," RM12,474.00 ",EIN2412-0189,BATCH 3,RECEIVED,450087X_24_0042, 14/01/2025   To :  16/01/2025,C832542SBL_25_1939927,
MUIM,OS TRIO TECHNOLOGY SDN. BHD.," RM8,505.00 ",EIN2412-0183,ONE BATCH ,RECEIVED,759497V_24_0012,07/01/2025   To :  09/01/2025,C832542SBL_25_1941962,
HAIYATI,TIMETEC COMPUTING SDN. BHD.," RM5,184.00 ",EHIN2501-0003,BATCH 1,RECEIVED,922870T_24_0058,30/12/2024   To :  02/01/2025,C832542SBL_25_1951504,
HAIYATI,TIMETEC COMPUTING SDN. BHD.," RM41,472.00 ",EHIN2501-0004,BATCH 2,RECEIVED,922870T_24_0059,07/01/2025   To :  09/01/2025,C832542SBL_25_1940687,
AZIZ,TERACHI ELECTRICAL SERVICES SDN. BHD.," RM4,710.96 ",EIN2412-0216,ONE BATCH ,RECEIVED,317898V_24_0005,30/12/2024   To :  02/01/2025,C832542SBL_25_1926642,
FATIMAH,FARMASI PANCHO," RM1,166.40 ",EIN2412-0223,ONE BATCH ,RECEIVED,KT0234829X_24_0005,30/12/2024   To :  02/01/2025,C832542SBL_25_1939866,
BARI,SYSTEMS ELECTRONICS ENGINEERING SDN BHD," RM10,458.72 ",EIN2412-0244,ONE BATCH ,RECEIVED,294755A_24_0008,30/12/2024   To :  02/01/2025,C832542SBL_25_1927520,
FATIMAH,MUAZ FORCE SDN. BHD.," RM34,992.00 ",EIN2412-0231,ONE BATCH ,RECEIVED,846376K_24_0178,07/01/2025   To :  09/01/2025,C832542SBL_25_1941853,
AZIZ,DATACRYPTIC TECHNOLOGIES SDN. BHD.," RM10,458.72 ",EIN2412-0253,ONE BATCH ,RECEIVED,1215198K_24_0010,30/12/2024   To :  02/01/2025,C832542SBL_25_1926700,
AZIZ,MCTRONIC INDUSTRIES SDN BHD," RM10,633.68 ",EIN2412-0270,ONE BATCH,RECEIVED,510557M_24_0028,30/12/2024   To :  02/01/2025,C832542SBL_25_1932410,
FATIMAH,SENG FONG LEONG MARKETING SDN BHD," RM24,358.32 ",EIN2412-0268,ONE BATCH,RECEIVED,807200P_24_0008,07/01/2025   To :  09/01/2025,C832542SBL_25_1941777,
JOSHUA HO,ZULAT PHARMACY SDN. BHD.," RM2,572.56 ",EIN2412-0278,ONE BATCH,RECEIVED,120882M_24_0034,07/01/2025   To :  09/01/2025,C832542SBL_25_1945509,
MUIM,CHAN CHEE KHEONG & BROTHERS TRAVEL SDN.BHD.," RM19,867.68 ",EIN2412-0283,ONE BATCH,RECEIVED,154142P_24_0015,07/01/2025   To :  09/01/2025,C832542SBL_25_1939937,
FATIMAH,ORKIM SHIP MANAGEMENT SDN BHD," RM9,331.20 ",EIN2412-0314,ONE BATCH,RECEIVED,658264U_24_0199, 14/01/2025   To :  16/01/2025,C832542SBL_25_1952761,
FARHANAH,INTER TOOL GROW TECH SDN. BHD.," RM17,366.40 ",EIN2412-0303,ONE BATCH,RECEIVED,879442W_24_0027,14/01/2025   To :  16/01/2025,C832542SBL_25_1953202,
FATIMAH,EIGNRETEP FORWARDING & TRANSPORT SDN BHD," RM5,589.00 ",EHIN2501-0006,ONE BATCH,RECEIVED,195313X_24_0012,14/01/2025   To :  16/01/2025,C832542SBL_25_1945365,
YASMIN,CMT LOGISTICS & WAREHOUSING (M) SDN. BHD.," RM6,311.52 ",EIN2412-0366,ONE BATCH,RECEIVED,201201025150_25_0003,07/01/2025   To :  09/01/2025,C832542SBL_25_1925520,
FARHANAH,ALL DAY PHARMACY SDN. BHD.," RM19,051.20 ",EIN2412-0277,ONE BATCH,RECEIVED,1190432W_24_0058,30/12/2024   To :  02/01/2025,C832542SBL_25_1929972,
MUIM,OSCENIA NETWORK TECHNOLOGY SDN. BHD.," RM3,641.76 ",EHIN2501-0001,BATCH 1,RECEIVED,679927A_25_0002,14/01/2025   To :  16/01/2025,C832542SBL_25_1945119,
BARI,CARTIER CREATIVE SDN. BHD.," RM3,674.16 ",EIN2412-0316,ONE BATCH,RECEIVED,1242172X_24_0007,14/01/2025   To :  16/01/2025,C832542SBL_25_1956750,
BARI,TOP KOKOA SDN BHD," RM7,840.80 ",EIN2412-0315,ONE BATCH,RECEIVED,201901039965_25_0004,14/01/2025   To :  16/01/2025,C832542SBL_25_1959339,
JOSHUA HO,BRAS VENTURES BHD," RM10,024.56 ",EIN2412-0313,ONE BATCH,RECEIVED,170586T_25_0031,21/01/2025   To :  23/01/2025,C832542SBL_25_1966808,
JOSHUA HO,TOTA STEEL ENTERPRISE SDN. BHD.," RM2,802.60 ",EHIN2501-0008,BATCH 1,RECEIVED,1124888A_25_0013,14/01/2025   To :  16/01/2025,C832542SBL_25_1945553,
BARI,INTEGRATUS ENERGY SERVICES SDN. BHD.," RM8,903.52 ",EHIN2501-0007,ONE BATCH,RECEIVED,1263719K_25_0004,14/01/2025   To :  16/01/2025,C832542SBL_25_1959328,
JOSHUA HO,SUPERDOUGH SDN. BHD.," RM8,365.68 ",EHIN2501-0010,ONE BATCH,RECEIVED,1079878W_23_0007,21/01/2025   To :  23/01/2025,C832542SBL_25_1967024,
MUIM,SNT GLOBAL LOGISTIC SDN BHD," RM2,161.08 ",EHIN2501-0005,ONE BATCH,RECEIVED,727197A_25_0117,21/01/2025   To :  23/01/2025,C832542SBL_25_1952867,
MUIM,OSCENIA NETWORK TECHNOLOGY SDN. BHD.," RM1,999.08 ",EHIN2501-0012,BATCH 2,RECEIVED,679927A_25_00034,04/02/2025   To :  06/02/2025,C832542SBL_25_1966837,
BARI,POWERCORE RESOURCES SDN. BHD.," RM9,875.52 ",EHIN2501-0013,ONE BATCH ,RECEIVED,1229612P_25_0038,10/02/2025   To :  13/02/2025,C832542SBL_25_2032723,
JOSHUA HO,TOP SLINGS TRADING SDN BHD," RM27,779.76 ",EIN2412-0225,ONE BATCH ,RECEIVED,472538H_25_0019,18/02/2025   To :  20/02/2025,C832542SBL_25_1987378,
FATIMAH,K & L FARMING INDUSTRIES SDN. BHD.," RM22,032.00 ",EHIN2501-0016,BATCH 1,RECEIVED,291955M_25_0043,04/02/2025   To :  06/02/2025,C832542SBL_25_2005117,
FATIMAH,K & L FARMING INDUSTRIES SDN. BHD.," RM22,032.00 ",EHIN2501-0017,BATCH 2,RECEIVED,291955M_25_0044,10/02/2025   To :  13/02/2025,C832542SBL_25_2005263,
FATIMAH,SENG FONG LEONG MARKETING SDN BHD," RM3,457.08 ",EHIN2502-0001,ONE BATCH ,RECEIVED,807200P_25_0009,18/02/2025   To :  20/02/2025,C832542SBL_25_1983482,
FARHANAH,WINWELL CONTRACTS SDN. BHD.," RM3,674.16 ",EHIN2502-0002,ONE BATCH ,RECEIVED,581888T_25_0010,18/02/2025   To :  20/02/2025,C832542SBL_25_1982941,
JOSHUA HO,SUCCEO RETAIL SDN. BHD.," RM8,197.20 ",EHIN2502-0004,ONE BATCH ,RECEIVED,948111H_25_0008,18/02/2025   To :  20/02/2025,C832542SBL_25_1987360,
JOSHUA HO,AGENSI PEKERJAAN BITZ (M) SDN. BHD.," RM18,817.92 ",EHIN2502-0003,ONE BATCH ,RECEIVED,808024P_25_0018,18/02/2025   To :  20/02/2025,C832542SBL_25_1987315,
FATIMAH,UNIQUE EATS SDN. BHD.," RM7,581.60 ",EIN2408-0057,ONE BATCH ,RECEIVED,1117930M_25_0009,04/03/2025   To :  06/03/2025,C832542SBL_25_2011393,
JOSHUA HO,THE COOL (MALAYSIA) SDN. BHD.," RM6,285.60 ",EHIN2502-0005,ONE BATCH ,RECEIVED,822686T_25_0036,04/03/2025   To :  06/03/2025,C832542SBL_25_2020675,
JONATHAN,TH COMMUNICATION SDN. BHD.," RM13,024.80 ",EHIN2503-0002,ONE BATCH ,RECEIVED,535797H_25_0044,11/03/2025   To :  13/03/2025,C832542SBL_25_2094711,
FATIMAH,WINSHINE INDUSTRIES SDN BHD," RM10,186.56 ",EHIN2502-0006,ONE BATCH ,RECEIVED,178106T_25_0027,11/03/2025   To :  13/03/2025,C832542SBL_25_2011561,
FATIMAH,SANTAN FOOD SERVICES SDN. BHD.," RM6,415.20 ",EHIN2502-0007,ONE BATCH ,RECEIVED,1093728T_25_0069,04/03/2025   To :  06/03/2025,C832542SBL_25_2016608,
BARI,SOUTH EAST ASIA AUTO PARTS SDN. BHD.," RM9,570.96 ",EHIN2502-0008,ONE BATCH ,RECEIVED,042974P_25_0043,11/03/2025   To :  13/03/2025,C832542SBL_25_2032747,
FATIMAH,ESSTAR VISION SDN. BHD.," RM18,176.40 ",EHIN2503-0001,BATCH 1,RECEIVED,606609H_25_0129,19/03/2025   To :  21/03/2025,C832542SBL_25_2022638,
FATIMAH,ESSTAR VISION SDN. BHD.," RM18,176.40 ",EHIN2503-0009,BATCH 2,RECEIVED,606609H_25_0130,08/04/2025   To :  10/04/2025,C832542SBL_25_2084661,
MUIM,KOM TECHNOLOGIES (M) SDN. BHD.," RM30,306.96 ",EHIN2503-0003,ONE BATCH ,RECEIVED,864504X_25_0090,19/03/2025   To :  21/03/2025,C832542SBL_25_2022715,
MUIM,CHAN CHEE KHEONG & BROTHERS TRAVEL SDN.BHD.," RM3,651.48 ",EHIN2503-0012,ONE BATCH ,RECEIVED,154142P_25_0016,08/04/2025 To : 10/04/2025,C832542SBL_25_2042622,
AZIZ,ADEL ADYANA ELEGANCE SDN. BHD.," RM6,181.92 ",EHIN2503-0004,ONE BATCH ,RECEIVED,1339376V_25_0001,19/03/2025   To :  21/03/2025,C832542SBL_25_2026534,
MUIM,CHAN BROTHER PK TRAVEL AGENCY SDN BHD," RM3,369.60 ",EHIN2503-0007,BATCH 1,RECEIVED,157960V_25_0001,15/04/2025 To : 17/04/2025, C832542SBL_25_2049209 ,LUM YIN LYE
MUIM,CHAN BROTHER PK TRAVEL AGENCY SDN BHD," RM1,827.36 ",EHIN2503-0013,BATCH 2,RECEIVED,157960V_25_0002,15/04/2025 To : 17/04/2025,C832542SBL_25_2049215,Foo Yah Li
FARHANAH,ORIENTAL FOREST F&B SDN. BHD.," RM2,572.56 ",EHIN2503-0006,ONE BATCH ,RECEIVED,1511339V_25_0003,19/03/2025   To :  21/03/2025,C832542SBL_25_2027702,
